,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,ID,Constant,Metric,Theory,Parent ID,Method
1093,-137.1645207587792,SAS,NCCN,2,137231988,P,frz,FF,83595804,"FF (frz, P)"
1107,-136.92636701848846,ATS,CCN(C(C)C)C(C)C,1,137348842,V,opt,FF,83609025,"FF (opt, V)"
1126,-136.50232080924434,RTE,CN1C(C)(C)CCCC1(C)C,1,137317842,V,frz,FF,83494076,"FF (frz, V)"
1134,-136.3525177078345,MRE,CCN,1,137329610,V,opt,FF,87650217,"FF (opt, V)"
1136,-136.32777401109655,AWW,C1CCCNCC1,1,137440824,V,MD,FF,83519929,"FF (MD, V)"
1143,-136.0935511200605,SAS,NCCN,1,137440801,P,frz,FF,83595802,"FF (frz, P)"
1144,-136.08085606462623,RTH,c1ccncc1,2,137443785,P,frz,FF,83527981,"FF (frz, P)"
1162,-135.79337613630673,RTH,C[C@H]1CNC[C@H](C)C1,2,137449349,V,frz,FF,83609193,"FF (frz, V)"
1179,-135.3097462122995,BEC,CN(C)CCN(C)C,1,137440652,P,MD,FF,83525944,"FF (MD, P)"
1182,-135.29034463536476,AFY,CCN(CC)CC,1,137441115,P,frz,FF,83496875,"FF (frz, P)"
1183,-135.26058518696703,SAS,NCCN,2,137231988,P,opt,FF,83595804,"FF (opt, P)"
1192,-134.9004585697752,CHA,C[C@@H]1CNC[C@H](C)C1,2,137348814,V,frz,FF,87646691,"FF (frz, V)"
1196,-134.76058621950224,RTH,C[C@@H]1CNC[C@H](C)C1,1,137339682,V,frz,FF,83609190,"FF (frz, V)"
1213,-134.3087175045758,SAS,NCCN,1,137440801,P,opt,FF,83595802,"FF (opt, P)"
1222,-134.09310755833621,CHA,C[C@@H]1CNC[C@H](C)C1,2,137348814,V,opt,FF,87646691,"FF (opt, V)"
1238,-133.61081617539438,SFO,CN(C)c1ccncc1,1,137448226,P,MD,FF,83490297,"FF (MD, P)"
1245,-133.37666272300865,GME,NCCNCCNCCN,1,137504504,V,MD,FF,83494329,"FF (MD, V)"
1256,-133.2173827102376,RTE,C1C[C@H]2CC[C@@H]1CNC2,2,84815465,P,opt,DFT,83596148,"DFT (opt, P)"
1264,-133.12038988161456,AWW,C1CCCNCC1,1,137440824,V,opt,FF,83519929,"FF (opt, V)"
1267,-133.0037352753238,RTH,CC(C)NC(C)C,1,137441122,P,frz,FF,83496952,"FF (frz, P)"
1277,-132.61668973743227,RTE,C1C[C@H]2CC[C@@H]1CNC2,2,148085336,V,opt,DFT,83596148,"DFT (opt, V)"
