ID,Framework,Total Energy (kJ/mol Si),Method,Optimizer
137326913,CZP,114.92862673496354,MD,BFGS + RFO (G < 0.15)
137327362,CZP,99.96044352474148,opt,BFGS + RFO (G < 0.05)
137327362,CZP,114.92866186821222,MD,BFGS + RFO (G < 0.05)
137326913,CZP,99.96044372575257,opt,BFGS + RFO (G < 0.15)
137319892,CZP,114.92963150411342,MD,CG + RFO (G < 0.10)
137319892,CZP,99.96044364534814,opt,CG + RFO (G < 0.10)
137360069,DAC,206.2395848095068,MD,Lower + RFO
137360069,DAC,192.31147013853052,opt,Lower + RFO
137337340,DAC,206.2280708580497,MD,BFGS + RFO (G < 0.05)
137337340,DAC,192.31147025913717,opt,BFGS + RFO (G < 0.05)
137367509,DAC,206.31212456972298,MD,CG + RFO (G < 0.10)
137328082,DAC,192.31147013853052,opt,BFGS + RFO (G < 0.15)
137328082,DAC,206.24552515255587,MD,BFGS + RFO (G < 0.15)
137367509,DAC,194.6433578863864,opt,CG + RFO (G < 0.10)
137339642,DDR,198.05716275774822,MD,BFGS + RFO (G < 0.05)
137337020,DDR,183.7171935170899,opt,Lower + RFO
137337020,DDR,198.28838628886388,MD,Lower + RFO
139621176,DDR,184.89713665454784,opt,BFGS + RFO (G < 0.15)
137339642,DDR,205.71701836102724,opt,BFGS + RFO (G < 0.05)
137332421,DFO,154.7620203665636,MD,Lower + RFO
137332421,DFO,139.8626853683109,opt,Lower + RFO
137320946,DFO,140.15919439248836,opt,BFGS + RFO (G < 0.05)
137319996,DFO,155.05790756318922,MD,CG + RFO (G < 0.10)
137319996,DFO,140.1595821830537,opt,CG + RFO (G < 0.10)
137326540,DFO,155.10187808907526,MD,BFGS + RFO (G < 0.15)
137326540,DFO,140.1591944509643,opt,BFGS + RFO (G < 0.15)
137327313,DFT,202.20804958568812,MD,BFGS + RFO (G < 0.05)
137327313,DFT,187.7214754763769,opt,BFGS + RFO (G < 0.05)
137333794,DFT,187.72147451152375,opt,BFGS + RFO (G < 0.15)
137333794,DFT,202.30131490017024,MD,BFGS + RFO (G < 0.15)
137317174,DFT,187.72147451152375,opt,Lower + RFO
137317174,DFT,202.33659039664207,MD,Lower + RFO
137338384,DOH,243.21038401434754,opt,Lower + RFO
137334422,DOH,256.96366117328296,MD,BFGS + RFO (G < 0.15)
137334422,DOH,243.21038395759146,opt,BFGS + RFO (G < 0.15)
137347042,DOH,257.22533675339207,MD,BFGS + RFO (G < 0.05)
137338384,DOH,255.9021508950314,MD,Lower + RFO
137347042,DOH,242.25877899903998,opt,BFGS + RFO (G < 0.05)
137323962,DON,174.4660150799646,MD,BFGS + RFO (G < 0.05)
137340541,DON,174.93283911452914,MD,Lower + RFO
137323962,DON,159.27865306500107,opt,BFGS + RFO (G < 0.05)
137340541,DON,159.78783384648816,opt,Lower + RFO
137343835,DON,159.45383305577516,opt,CG + RFO (G < 0.10)
137368136,DON,174.4660150799646,MD,BFGS + RFO (G < 0.15)
137343835,DON,174.63082254609515,MD,CG + RFO (G < 0.10)
137368136,DON,159.27865306500107,opt,BFGS + RFO (G < 0.15)
137356629,EAB,192.50921919213064,MD,CG + RFO (G < 0.10)
137356629,EAB,181.69845132760204,opt,CG + RFO (G < 0.10)
137334809,EAB,192.6599060985096,MD,Lower + RFO
137341985,EAB,192.46367907807482,MD,BFGS + RFO (G < 0.05)
137341985,EAB,184.14172938931205,opt,BFGS + RFO (G < 0.05)
137334809,EAB,184.14172965732683,opt,Lower + RFO
137350598,EAB,181.69845199763895,opt,BFGS + RFO (G < 0.15)
137350598,EAB,192.5652754672747,MD,BFGS + RFO (G < 0.15)
137353832,EDI,179.5666209078332,opt,CG + RFO (G < 0.10)
137353832,EDI,194.1555775837526,MD,CG + RFO (G < 0.10)
137354636,EDI,187.45536820334522,opt,BFGS + RFO (G < 0.05)
137354636,EDI,194.09283922274622,MD,BFGS + RFO (G < 0.05)
137366124,EDI,194.16800303190723,MD,Lower + RFO
137321077,EDI,194.09283922274622,MD,BFGS + RFO (G < 0.15)
